factid,saleid,locationid,featureid,squareFootage,yearBuilt,county,assessorID,legalDescription,subdivision,bathrooms,lotSize,id,bedrooms
0,1,0,0,1040.0,1987.0,Mercer,12  00005-0000-00025-  02-C363,LOT:25.02 BLK:5 DIST:12 CITY/MUNI/TWP:WASHINGTON TWP MAP REF:TAX MAP 2.01,unkown,0.0,0.0,"363-Andover-Pl,-Robbinsville,-NJ-08691",0.0
1,2,1,1,1710.0,1994.0,Benton,01-05831-000,PLAT 18-184,BLUEBERRY HEIGHTS-BENTONVILLE,2.0,9583.0,"400-Jared-St,-Bentonville,-AR-72712",3.0
2,3,2,2,0.0,0.0,El Paso,unkown,unkown,unkown,0.0,0.0,"1117-Market-St,-Colorado-Springs,-CO-80904",0.0
3,3,3,2,0.0,0.0,Los Angeles,unkown,unkown,unkown,0.0,0.0,"1120-San-Rafael-Ave-Apt-H,-Glendale,-CA-91202",0.0
4,4,4,3,1248.0,1919.0,Summit,67-41714,WM FLOWER RE LOTS 62 63 SUB 6 .120A,FLOWER,1.0,4269.0,"40-W-Glenwood-Ave,-Akron,-OH-44304",3.0
5,5,5,4,3080.0,2005.0,San Diego,223-731-11-00,TR 14781 LOT 11,UNIVERSITY COMMONS UNIT 6,3.0,5138.0,"2551-Corbel-Way,-San-Marcos,-CA-92078",5.0
6,3,6,5,1325.0,1974.0,Los Angeles,8038-034-051,TRACT NO 29660 LOT 51,29660,2.0,3061.0,"12700-Oxford-Dr,-La-Mirada,-CA-90638",3.0
7,3,7,2,0.0,0.0,Bristol,unkown,unkown,unkown,0.0,0.0,"150-Oak-St,-Apt-1,-Taunton,-MA-02780",0.0
8,6,8,6,953.0,1980.0,Olmsted,74.32.43.012547,SECT-32 TWP-107 RANGE-014 MANOR WOODS 3RD-TORRENS LOT-006 BLOCK-002 LOT 6 BLK 2,MANOR WOODS 3RD-TORRENS,2.0,12327.0,"4231-Manor-View-Dr-NW,-Rochester,-MN-55901",3.0
9,7,9,7,2617.0,2010.0,Clark,124-30-210-123,RIVERWALK RANCH TWILIGHT PLAT BOOK 129 PAGE 29 LOT 123 BLOCK 3,RIVERWALK RANCH TWILIGHT,3.0,5227.0,"6064-Sea-Cliff-Cove-St,-North-Las-Vegas,-NV-89031",3.0
10,8,10,8,2120.0,1986.0,Dallas,382164600A0860000,TOWN RIDGE 2ND INCR BLK A LOT 86 VOL87022/7271 EX012987 CO-DALLAS 2164600A08600 3382164600A,TOWN RIDGE 2ND INCR,2.0,7095.0,"2027-Timberview-Dr,-Mesquite,-TX-75149",4.0
11,3,11,9,1797.0,1911.0,Wayne,08-006974.,"E AVERY N 16 FT 16 S 14 FT 17 BLK 3 AVERY & MURPHYS SUB L9 P42 PLATS, W C R8/52 30 X 130 NEZ CERT# 2007-0537; RELATED PARCEL:",AVERY & MURPHYS SUB,2.0,7841.0,"3948-Avery-St,-Detroit,-MI-48208",0.0
12,3,12,2,0.0,0.0,Ramsey,unkown,unkown,unkown,0.0,0.0,"1300-Wilson-Ave,-Apt-509,-Saint-Paul,-MN-55106",0.0
13,9,13,10,1096.0,1973.0,Oakland,50-22-24-451-044,"T1N, R8E, SEC 24 OAKLAND COUNTY CONDOMINIUM PLAN NO 39 OLDE ORCHARD COUNTRY HOMES BLDG 5, APT 36 L 6614 P 11",OLDE ORCHARD COUNTRY HOME CONDOMINIUM,2.5,43560.0,"24554-Olde-Orchard-St,-Novi,-MI-48375",2.0
14,3,14,2,0.0,0.0,Parker,unkown,unkown,unkown,0.0,0.0,"202-College-Park-Dr,-Apt-258,-Weatherford,-TX-76086",0.0
15,10,15,11,871.0,1972.0,Providence,SMIT M:43 B:000 L:021-B U:3-8,LOT:21-B CITY/MUNI/TWP:SMITHFIELD SUBD:APPLE VALLEY,APPLE VALLEY,1.0,0.0,"11-Apple-Valley-Pkwy,-Apt-8,-Greenville,-RI-02828",2.0
16,3,16,2,0.0,0.0,Livingston,unkown,unkown,unkown,0.0,0.0,"36611-Walker-Rd-N,-Walker,-LA-70785",0.0
17,11,17,12,1212.0,1920.0,Calaveras,unkown,unkown,unkown,2.0,7841.0,"1318-Mark-Twain-Rd,-Angels-Camp,-CA-95222",2.0
18,12,18,13,1456.0,2019.0,Cherokee,21N11L 020,LOT 20 GRACE SUBDIVISION,GRACE SUBDIVISION,2.0,7405.0,"145-Grace-Cir,-Acworth,-GA-30102",2.0
19,13,19,14,1428.0,1973.0,Salt Lake,21-32-377-015,"LOT 20, THE COUNTRY SQUIRE SUB #4. 5087-76 5087-0077 6130-2789",THE COUNTRY SQUIRE,1.0,7405.0,"8548-S-Susan-Way,-West-Jordan,-UT-84088",2.0
20,14,20,15,1746.0,1987.0,Los Angeles,2701-011-072,TR=41843 LOT 117,41843,3.0,4763.0,"19561-Eagle-Ridge-Ln,-Porter-Ranch,-CA-91326",4.0
