saleid,lastSalePrice,Date,Day,Month,Year
1,107805.0,1988-06-03,Friday,June,1988.0
2,87000.0,1997-11-05,Wednesday,November,1997.0
3,0.0,,,,
4,10000.0,2017-01-25,Wednesday,January,2017.0
5,510000.0,2009-07-02,Thursday,July,2009.0
6,278000.0,2021-05-11,Tuesday,May,2021.0
7,212314.0,2010-07-29,Thursday,July,2010.0
8,0.0,1987-02-04,Wednesday,February,1987.0
9,1895.0,2022-02-24,Thursday,February,2022.0
10,200000.0,2021-10-26,Tuesday,October,2021.0
11,140000.0,2014-06-19,Thursday,June,2014.0
12,288000.0,2019-05-14,Tuesday,May,2019.0
13,0.0,2008-06-30,Monday,June,2008.0
14,925009.0,2022-05-05,Thursday,May,2022.0
15,327900.0,2020-03-16,Monday,March,2020.0
16,26500.0,2020-09-29,Tuesday,September,2020.0
17,204843.0,2017-06-26,Monday,June,2017.0
18,560000.0,2022-02-01,Tuesday,February,2022.0
19,115125.0,1993-11-30,Tuesday,November,1993.0
20,0.0,2013-12-09,Monday,December,2013.0
21,270000.0,2021-07-12,Monday,July,2021.0
22,70000.0,2021-07-28,Wednesday,July,2021.0
23,338000.0,1992-06-23,Tuesday,June,1992.0
24,190900.0,2009-03-02,Monday,March,2009.0
25,610000.0,2022-06-16,Thursday,June,2022.0
26,48000.0,2022-04-01,Friday,April,2022.0
27,575000.0,2020-10-02,Friday,October,2020.0
28,260000.0,2022-04-12,Tuesday,April,2022.0
29,285000.0,2021-10-26,Tuesday,October,2021.0
30,395000.0,2022-01-26,Wednesday,January,2022.0
31,549000.0,2020-02-04,Tuesday,February,2020.0
32,628000.0,2019-10-25,Friday,October,2019.0
33,189900.0,2019-02-15,Friday,February,2019.0
34,122100.0,2007-11-13,Tuesday,November,2007.0
35,435000.0,2023-01-05,Thursday,January,2023.0
36,790000.0,2022-09-23,Friday,September,2022.0
37,200000.0,2021-07-22,Thursday,July,2021.0
38,389900.0,2023-05-18,Thursday,May,2023.0
39,485000.0,2020-12-14,Monday,December,2020.0
40,115000.0,2012-05-15,Tuesday,May,2012.0
41,312130.0,2019-04-24,Wednesday,April,2019.0
42,140000.0,2010-08-13,Friday,August,2010.0
43,183000.0,2010-02-18,Thursday,February,2010.0
44,220000.0,2014-09-05,Friday,September,2014.0
45,208500.0,2006-07-07,Friday,July,2006.0
46,610000.0,2020-11-25,Wednesday,November,2020.0
47,635557.0,2004-04-20,Tuesday,April,2004.0
48,0.0,2019-12-06,Friday,December,2019.0
49,150000.0,2006-02-22,Wednesday,February,2006.0
50,654900.0,2022-06-30,Thursday,June,2022.0
51,2100000.0,2022-03-02,Wednesday,March,2022.0
52,264600.0,2013-03-12,Tuesday,March,2013.0
53,270000.0,2023-04-11,Tuesday,April,2023.0
54,348000.0,2019-11-15,Friday,November,2019.0
55,0.0,2020-10-02,Friday,October,2020.0
56,150000.0,2004-09-03,Friday,September,2004.0
57,423673.0,2019-08-23,Friday,August,2019.0
58,480000.0,2022-12-16,Friday,December,2022.0
59,240000.0,2014-04-02,Wednesday,April,2014.0
60,405000.0,2006-10-31,Tuesday,October,2006.0
61,65000.0,2009-01-13,Tuesday,January,2009.0
62,200000.0,2004-01-09,Friday,January,2004.0
63,1225000.0,2021-08-06,Friday,August,2021.0
64,390000.0,1997-06-25,Wednesday,June,1997.0
65,0.0,2021-09-02,Thursday,September,2021.0
66,428000.0,2020-07-15,Wednesday,July,2020.0
67,5500.0,1994-11-03,Thursday,November,1994.0
68,0.0,2015-06-26,Friday,June,2015.0
69,565000.0,2016-07-15,Friday,July,2016.0
70,95000.0,2020-01-27,Monday,January,2020.0
71,0.0,2019-06-21,Friday,June,2019.0
72,228704.0,2011-08-05,Friday,August,2011.0
73,159000.0,2013-06-19,Wednesday,June,2013.0
74,1060000.0,2016-09-21,Wednesday,September,2016.0
75,92500.0,1996-06-12,Wednesday,June,1996.0
76,421000.0,2021-05-27,Thursday,May,2021.0
77,0.0,2022-03-14,Monday,March,2022.0
78,165500.0,2013-05-29,Wednesday,May,2013.0
79,185000.0,2020-08-13,Thursday,August,2020.0
80,178000.0,2013-05-15,Wednesday,May,2013.0
81,0.0,2012-06-13,Wednesday,June,2012.0
82,172500.0,2016-12-22,Thursday,December,2016.0
83,552500.0,2022-03-10,Thursday,March,2022.0
84,950000.0,2006-12-27,Wednesday,December,2006.0
85,0.0,2015-03-23,Monday,March,2015.0
86,1850000.0,2015-07-29,Wednesday,July,2015.0
87,155000.0,2004-12-07,Tuesday,December,2004.0
88,475500.0,2016-06-29,Wednesday,June,2016.0
89,1670016.0,2022-10-27,Thursday,October,2022.0
90,150000.0,2021-07-06,Tuesday,July,2021.0
91,35000.0,2015-04-28,Tuesday,April,2015.0
92,384000.0,2016-10-24,Monday,October,2016.0
93,2400000.0,2020-12-30,Wednesday,December,2020.0
94,0.0,2018-06-25,Monday,June,2018.0
95,258500.0,2000-04-27,Thursday,April,2000.0
96,575000.0,2021-11-18,Thursday,November,2021.0
97,0.0,2021-06-16,Wednesday,June,2021.0
98,0.0,2010-10-01,Friday,October,2010.0
99,208000.0,2020-12-07,Monday,December,2020.0
100,290000.0,2017-08-22,Tuesday,August,2017.0
101,0.0,2014-10-31,Friday,October,2014.0
102,183000.0,2019-09-18,Wednesday,September,2019.0
103,190000.0,2013-09-06,Friday,September,2013.0
